order_id,order_date,customer_id,customer_email,product_sku,quantity,unit_price,region,order_status,discount_pct,total_revenue
ORD-00001,1/1/2024,CUST-202,user0@example.com,,26,215.92,South,unknown,0.12,4195.39
ORD-00002,1/2/2024,CUST-535,user1@example.com,SKU-D4,17,115.18,,completed,0.01,2623.15
ORD-00003,1/3/2024,CUST-960,user2@example.com,SKU-D4,40,201.34,South,completed,0.44,15914.39
ORD-00004,1/4/2024,,user3@example.com,SKU-B2,33,446.49,East,unknown,0.01,17664.83
ORD-00005,1/5/2024,CUST-206,user4@example.com,SKU-C3,-4,77.57,NORTH,cancelled,0.44,799.34
ORD-00006,1/6/2024,CUST-171,not-an-email,SKU-B2,43,,West,cancelled,0.26,23405.94
ORD-00007,1/7/2024,CUST-800,user6@example.com,SKU-C3,48,120.45,NORTH,cancelled,0.47,1308.76
ORD-00008,1/8/2024,CUST-120,user7@example.com,SKU-A1,39,292.75,south ,unknown,0.4,13537
ORD-00009,1/9/2024,CUST-714,user8@example.com,SKU-A1,,,South,completed,0.5,17729.42
ORD-00010,1/10/2024,CUST-221,user9@example.com,SKU-A1,-5,440.78,south ,unknown,0.18,21775.52
ORD-00011,1/11/2024,CUST-566,user10@example.com,SKU-D4,,122.16,West,unknown,0.38,17855.03
ORD-00012,1/12/2024,CUST-314,user11@example.com,SKU-A1,35,454.31,East,cancelled,0.2,20045.18
ORD-00013,1/13/2024,CUST-430,user12@example.com,SKU-C3,25,999999,West,pending,0.24,8492.86
ORD-00014,1/14/2024,CUST-558,user13@example.com,SKU-A1,24,178.36,North,completed,0.31,20372.48
ORD-00015,1/15/2024,CUST-187,user14@example.com,SKU-B2,13,355.55,West,cancelled,0.44,2012.07
ORD-00016,1/16/2024,CUST-472,missing@,SKU-B2,7,243.43,North,pending,0.49,22371.47
ORD-00017,1/17/2024,CUST-199,user16@example.com,SKU-D4,36,192.1,West,pending,0.38,13694.33
ORD-00018,1/18/2024,CUST-971,user17@example.com,SKU-B2,45,354.02,North,COMPLETED,0.21,20434.27
ORD-00019,1/19/2024,CUST-763,user18@example.com,SKU-C3,20,128.12,South,completed,0.21,11313.43
